district,case_number,date,party,fine,n_fines,days_since_covid,case_type
OKLAHOMA,CF-2020-01494,2021-05-07,18158783,50,1,417,CF
OKLAHOMA,CF-2020-01495,2021-01-12,18158796,100,1,302,CF
OKLAHOMA,CF-2020-01496,2020-07-16,18158806,50,1,122,CF
OKLAHOMA,CF-2020-01497,2021-02-01,18159066,100,1,322,CF
OKLAHOMA,CF-2020-01499,2020-09-29,18159129,90,1,197,CF
OKLAHOMA,CF-2020-01500,2020-04-24,18159131,100,1,39,CF
OKLAHOMA,CF-2020-01501,2021-05-13,18159140,50,1,423,CF
OKLAHOMA,CF-2020-01502,2020-05-07,18159147,50,1,52,CF
OKLAHOMA,CF-2020-01504,2020-05-14,18159149,100,1,59,CF
OKLAHOMA,CF-2020-01506,2020-09-29,18159155,50,1,197,CF
OKLAHOMA,CF-2020-01507,2021-12-20,18159156,50,1,644,CF
OKLAHOMA,CF-2020-01509,2021-03-15,18159158,50,1,364,CF
OKLAHOMA,CF-2020-01510,2020-09-04,18159159,100,1,172,CF
OKLAHOMA,CF-2020-01511,2021-08-16,18159160,50,1,518,CF
OKLAHOMA,CF-2020-01512,2020-06-01,18159261,80,1,77,CF
OKLAHOMA,CF-2020-01513,2020-12-21,18159264,1150,2,280,CF
OKLAHOMA,CF-2020-01514,2022-05-03,18159267,170,2,778,CF
OKLAHOMA,CF-2020-01515,2020-12-02,18159270,50,1,261,CF
OKLAHOMA,CF-2020-01516,2020-11-03,18159672,100,1,232,CF
OKLAHOMA,CF-2020-01518,2020-09-10,18159707,50,1,178,CF
OKLAHOMA,CF-2020-01520,2020-10-12,18159718,100,1,210,CF
OKLAHOMA,CF-2020-01521,2021-04-23,18159740,100,1,403,CF
OKLAHOMA,CF-2020-01522,2021-03-03,18159748,200,2,352,CF
OKLAHOMA,CF-2020-01524,2021-12-15,18159787,50,1,639,CF
OKLAHOMA,CF-2020-01527,2021-03-11,18159819,50,1,360,CF
OKLAHOMA,CF-2020-01532,2020-08-24,18159949,50,1,161,CF
OKLAHOMA,CF-2020-01533,2020-12-16,18159950,1000,1,275,CF
OKLAHOMA,CF-2020-01535,2020-07-07,18159958,30,1,113,CF
OKLAHOMA,CF-2020-01537,2021-10-21,18159968,100,1,584,CF
OKLAHOMA,CF-2020-01539,2021-03-19,18159974,100,1,368,CF
OKLAHOMA,CF-2020-01540,2020-05-07,18159986,600,2,52,CF
OKLAHOMA,CF-2020-01541,2020-05-21,18159975,110,1,66,CF
OKLAHOMA,CF-2020-01542,2020-12-02,18159992,50,1,261,CF
OKLAHOMA,CF-2020-01543,2020-08-12,18159999,100,1,149,CF
OKLAHOMA,CF-2020-01544,2021-10-07,18160020,100,1,570,CF
OKLAHOMA,CF-2020-01544,2021-12-01,18160046,100,1,625,CF
OKLAHOMA,CF-2020-01544,2021-12-13,18160041,50,1,637,CF
OKLAHOMA,CF-2020-01544,2022-01-19,18160030,50,1,674,CF
OKLAHOMA,CF-2020-01545,2021-09-22,18160024,100,1,555,CF
OKLAHOMA,CF-2020-01546,2020-09-03,18160028,100,1,171,CF
OKLAHOMA,CF-2020-01547,2022-07-27,18160042,160,2,863,CF
OKLAHOMA,CF-2020-01548,2021-07-21,18160065,150,1,492,CF
OKLAHOMA,CF-2020-01549,2021-10-05,18160070,130,1,568,CF
OKLAHOMA,CF-2020-01550,2020-07-22,18160076,50,1,128,CF
OKLAHOMA,CF-2020-01553,2020-08-06,18160136,35,1,143,CF
OKLAHOMA,CF-2020-01554,2021-05-19,18160144,100,1,429,CF
OKLAHOMA,CF-2020-01556,2021-03-01,18160212,50,1,350,CF
OKLAHOMA,CF-2020-01558,2022-02-01,18160226,200,2,687,CF
OKLAHOMA,CF-2020-01561,2021-05-19,18160625,45,1,429,CF
OKLAHOMA,CF-2020-01563,2020-08-26,18160804,45,1,163,CF
OKLAHOMA,CF-2020-01564,2021-01-08,18160812,100,1,298,CF
OKLAHOMA,CF-2020-01565,2020-07-09,18160930,50,1,115,CF
OKLAHOMA,CF-2020-01566,2020-09-08,18161163,50,1,176,CF
OKLAHOMA,CF-2020-01567,2020-05-26,18161173,520,2,71,CF
OKLAHOMA,CF-2020-01569,2020-07-09,18161184,50,1,115,CF
OKLAHOMA,CF-2020-01570,2020-07-07,18161192,100,1,113,CF
OKLAHOMA,CF-2020-01571,2021-06-18,18161492,50,1,459,CF
OKLAHOMA,CF-2020-01573,2020-08-27,18161501,50,1,164,CF
OKLAHOMA,CF-2020-01574,2020-11-02,18161506,50,1,231,CF
OKLAHOMA,CF-2020-01575,2021-07-06,18161509,50,1,477,CF
OKLAHOMA,CF-2020-01577,2021-02-01,18161533,100,1,322,CF
OKLAHOMA,CF-2020-01578,2020-12-10,18161548,50,1,269,CF
OKLAHOMA,CF-2020-01581,2020-10-05,18161831,1700,4,203,CF
OKLAHOMA,CF-2020-01582,2020-10-16,18161852,50,1,214,CF
OKLAHOMA,CF-2020-01584,2020-10-01,18161874,100,1,199,CF
OKLAHOMA,CF-2020-01587,2021-01-06,18161915,50,1,296,CF
